0
1,s0 -> s0
2,s1 -> s0
3,s2 -> s0
4,s3 -> s0
5,s4 -> s0
6,s0 -> s1
7,s1 -> s1
8,s2 -> s1
9,s3 -> s1
10,s4 -> s1
11,s0 -> s2
12,s1 -> s2
13,s2 -> s2
14,s3 -> s2
15,s4 -> s2
16,s0 -> s3
17,s1 -> s3
18,s2 -> s3
19,s3 -> s3
20,s4 -> s3
21,s0 -> s4
22,s1 -> s4
23,s2 -> s4
24,s3 -> s4
25,s4 -> s4
72,s1 -> s4,s1 -> s0
73,s2 -> s4,s1 -> s0
74,s3 -> s4,s1 -> s0
75,s4 -> s4,s1 -> s0
76,s0 -> s0,s2 -> s0
77,s1 -> s0,s2 -> s0
78,s2 -> s0,s2 -> s0
79,s3 -> s0,s2 -> s0
80,s4 -> s0,s2 -> s0
81,s0 -> s1,s2 -> s0
82,s1 -> s1,s2 -> s0
83,s2 -> s1,s2 -> s0
84,s3 -> s1,s2 -> s0
85,s4 -> s1,s2 -> s0
86,s0 -> s2,s2 -> s0
87,s1 -> s2,s2 -> s0
88,s2 -> s2,s2 -> s0
89,s3 -> s2,s2 -> s0
90,s4 -> s2,s2 -> s0
91,s0 -> s3,s2 -> s0
92,s1 -> s3,s2 -> s0
93,s2 -> s3,s2 -> s0
94,s3 -> s3,s2 -> s0
95,s4 -> s3,s2 -> s0
96,s0 -> s4,s2 -> s0
97,s1 -> s4,s2 -> s0
98,s2 -> s4,s2 -> s0
99,s3 -> s4,s2 -> s0
100,s4 -> s4,s2 -> s0
101,s0 -> s0,s3 -> s0
102,s1 -> s0,s3 -> s0
103,s2 -> s0,s3 -> s0
104,s3 -> s0,s3 -> s0
105,s4 -> s0,s3 -> s0
106,s0 -> s1,s3 -> s0
107,s1 -> s1,s3 -> s0
108,s2 -> s1,s3 -> s0
109,s3 -> s1,s3 -> s0
110,s4 -> s1,s3 -> s0
111,s0 -> s2,s3 -> s0
112,s1 -> s2,s3 -> s0
113,s2 -> s2,s3 -> s0
114,s3 -> s2,s3 -> s0
115,s4 -> s2,s3 -> s0
116,s0 -> s3,s3 -> s0
117,s1 -> s3,s3 -> s0
118,s2 -> s3,s3 -> s0
119,s3 -> s3,s3 -> s0
120,s4 -> s3,s3 -> s0
121,s0 -> s4,s3 -> s0
122,s1 -> s4,s3 -> s0
123,s2 -> s4,s3 -> s0
124,s3 -> s4,s3 -> s0
125,s4 -> s4,s3 -> s0
126,s0 -> s0,s4 -> s0
127,s1 -> s0,s4 -> s0
128,s2 -> s0,s4 -> s0
129,s3 -> s0,s4 -> s0
130,s4 -> s0,s4 -> s0
131,s0 -> s1,s4 -> s0
132,s1 -> s1,s4 -> s0
133,s2 -> s1,s4 -> s0
134,s3 -> s1,s4 -> s0
135,s4 -> s1,s4 -> s0
136,s0 -> s2,s4 -> s0
137,s1 -> s2,s4 -> s0
138,s2 -> s2,s4 -> s0
139,s3 -> s2,s4 -> s0
140,s4 -> s2,s4 -> s0
141,s0 -> s3,s4 -> s0
142,s1 -> s3,s4 -> s0
143,s2 -> s3,s4 -> s0
144,s3 -> s3,s4 -> s0
145,s4 -> s3,s4 -> s0
146,s0 -> s4,s4 -> s0
147,s1 -> s4,s4 -> s0
148,s2 -> s4,s4 -> s0
149,s3 -> s4,s4 -> s0
150,s4 -> s4,s4 -> s0
151,s0 -> s0,s0 -> s1
152,s1 -> s0,s0 -> s1
153,s2 -> s0,s0 -> s1
154,s3 -> s0,s0 -> s1
155,s4 -> s0,s0 -> s1
156,s0 -> s1,s0 -> s1
157,s1 -> s1,s0 -> s1
158,s2 -> s1,s0 -> s1
159,s3 -> s1,s0 -> s1
160,s4 -> s1,s0 -> s1
161,s0 -> s2,s0 -> s1
162,s1 -> s2,s0 -> s1
163,s2 -> s2,s0 -> s1
164,s3 -> s2,s0 -> s1
165,s4 -> s2,s0 -> s1
166,s0 -> s3,s0 -> s1
167,s1 -> s3,s0 -> s1
168,s2 -> s3,s0 -> s1
169,s3 -> s3,s0 -> s1
170,s4 -> s3,s0 -> s1
171,s0 -> s4,s0 -> s1
172,s1 -> s4,s0 -> s1
173,s2 -> s4,s0 -> s1
174,s3 -> s4,s0 -> s1
175,s4 -> s4,s0 -> s1
176,s0 -> s0,s1 -> s1
177,s1 -> s0,s1 -> s1
178,s2 -> s0,s1 -> s1
179,s3 -> s0,s1 -> s1
180,s4 -> s0,s1 -> s1
181,s0 -> s1,s1 -> s1
182,s1 -> s1,s1 -> s1
183,s2 -> s1,s1 -> s1
184,s3 -> s1,s1 -> s1
185,s4 -> s1,s1 -> s1
186,s0 -> s2,s1 -> s1
187,s1 -> s2,s1 -> s1
188,s2 -> s2,s1 -> s1
189,s3 -> s2,s1 -> s1
190,s4 -> s2,s1 -> s1
191,s0 -> s3,s1 -> s1
192,s1 -> s3,s1 -> s1
193,s2 -> s3,s1 -> s1
194,s3 -> s3,s1 -> s1
195,s4 -> s3,s1 -> s1
196,s0 -> s4,s1 -> s1
197,s1 -> s4,s1 -> s1
198,s2 -> s4,s1 -> s1
199,s3 -> s4,s1 -> s1
200,s4 -> s4,s1 -> s1
201,s0 -> s0,s2 -> s1
202,s1 -> s0,s2 -> s1
203,s2 -> s0,s2 -> s1
204,s3 -> s0,s2 -> s1
205,s4 -> s0,s2 -> s1
206,s0 -> s1,s2 -> s1
207,s1 -> s1,s2 -> s1
208,s2 -> s1,s2 -> s1
209,s3 -> s1,s2 -> s1
210,s4 -> s1,s2 -> s1
211,s0 -> s2,s2 -> s1
212,s1 -> s2,s2 -> s1
213,s2 -> s2,s2 -> s1
214,s3 -> s2,s2 -> s1
215,s4 -> s2,s2 -> s1
216,s0 -> s3,s2 -> s1
217,s1 -> s3,s2 -> s1
218,s2 -> s3,s2 -> s1
219,s3 -> s3,s2 -> s1
220,s4 -> s3,s2 -> s1
221,s0 -> s4,s2 -> s1
222,s1 -> s4,s2 -> s1
223,s2 -> s4,s2 -> s1
224,s3 -> s4,s2 -> s1
225,s4 -> s4,s2 -> s1
226,s0 -> s0,s3 -> s1
227,s1 -> s0,s3 -> s1
228,s2 -> s0,s3 -> s1
229,s3 -> s0,s3 -> s1
230,s4 -> s0,s3 -> s1
231,s0 -> s1,s3 -> s1
232,s1 -> s1,s3 -> s1
233,s2 -> s1,s3 -> s1
234,s3 -> s1,s3 -> s1
235,s4 -> s1,s3 -> s1
236,s0 -> s2,s3 -> s1
237,s1 -> s2,s3 -> s1
238,s2 -> s2,s3 -> s1
239,s3 -> s2,s3 -> s1
240,s4 -> s2,s3 -> s1
241,s0 -> s3,s3 -> s1
242,s1 -> s3,s3 -> s1
243,s2 -> s3,s3 -> s1
244,s3 -> s3,s3 -> s1
245,s4 -> s3,s3 -> s1
246,s0 -> s4,s3 -> s1
247,s1 -> s4,s3 -> s1
248,s2 -> s4,s3 -> s1
249,s3 -> s4,s3 -> s1
250,s4 -> s4,s3 -> s1
251,s0 -> s0,s4 -> s1
252,s1 -> s0,s4 -> s1
253,s2 -> s0,s4 -> s1
254,s3 -> s0,s4 -> s1
255,s4 -> s0,s4 -> s1
256,s0 -> s1,s4 -> s1
257,s1 -> s1,s4 -> s1
258,s2 -> s1,s4 -> s1
259,s3 -> s1,s4 -> s1
260,s4 -> s1,s4 -> s1
261,s0 -> s2,s4 -> s1
262,s1 -> s2,s4 -> s1
263,s2 -> s2,s4 -> s1
264,s3 -> s2,s4 -> s1
265,s4 -> s2,s4 -> s1
266,s0 -> s3,s4 -> s1
267,s1 -> s3,s4 -> s1
268,s2 -> s3,s4 -> s1
269,s3 -> s3,s4 -> s1
270,s4 -> s3,s4 -> s1
271,s0 -> s4,s4 -> s1
272,s1 -> s4,s4 -> s1
273,s2 -> s4,s4 -> s1
274,s3 -> s4,s4 -> s1
275,s4 -> s4,s4 -> s1
276,s0 -> s0,s0 -> s2
277,s1 -> s0,s0 -> s2
278,s2 -> s0,s0 -> s2
279,s3 -> s0,s0 -> s2
280,s4 -> s0,s0 -> s2
281,s0 -> s1,s0 -> s2
282,s1 -> s1,s0 -> s2
283,s2 -> s1,s0 -> s2
284,s3 -> s1,s0 -> s2
285,s4 -> s1,s0 -> s2
286,s0 -> s2,s0 -> s2
287,s1 -> s2,s0 -> s2
288,s2 -> s2,s0 -> s2
289,s3 -> s2,s0 -> s2
290,s4 -> s2,s0 -> s2
291,s0 -> s3,s0 -> s2
292,s1 -> s3,s0 -> s2
293,s2 -> s3,s0 -> s2
294,s3 -> s3,s0 -> s2
295,s4 -> s3,s0 -> s2
296,s0 -> s4,s0 -> s2
297,s1 -> s4,s0 -> s2
298,s2 -> s4,s0 -> s2
299,s3 -> s4,s0 -> s2
300,s4 -> s4,s0 -> s2
301,s0 -> s0,s1 -> s2
302,s1 -> s0,s1 -> s2
303,s2 -> s0,s1 -> s2
304,s3 -> s0,s1 -> s2
305,s4 -> s0,s1 -> s2
306,s0 -> s1,s1 -> s2
307,s1 -> s1,s1 -> s2
308,s2 -> s1,s1 -> s2
309,s3 -> s1,s1 -> s2
310,s4 -> s1,s1 -> s2
311,s0 -> s2,s1 -> s2
312,s1 -> s2,s1 -> s2
313,s2 -> s2,s1 -> s2
314,s3 -> s2,s1 -> s2
315,s4 -> s2,s1 -> s2
316,s0 -> s3,s1 -> s2
317,s1 -> s3,s1 -> s2
318,s2 -> s3,s1 -> s2
319,s3 -> s3,s1 -> s2
320,s4 -> s3,s1 -> s2
321,s0 -> s4,s1 -> s2
322,s1 -> s4,s1 -> s2
323,s2 -> s4,s1 -> s2
324,s3 -> s4,s1 -> s2
325,s4 -> s4,s1 -> s2
326,s0 -> s0,s2 -> s2
327,s1 -> s0,s2 -> s2
328,s2 -> s0,s2 -> s2
329,s3 -> s0,s2 -> s2
330,s4 -> s0,s2 -> s2
331,s0 -> s1,s2 -> s2
332,s1 -> s1,s2 -> s2
333,s2 -> s1,s2 -> s2
334,s3 -> s1,s2 -> s2
335,s4 -> s1,s2 -> s2
336,s0 -> s2,s2 -> s2
337,s1 -> s2,s2 -> s2
338,s2 -> s2,s2 -> s2
339,s3 -> s2,s2 -> s2
340,s4 -> s2,s2 -> s2
341,s0 -> s3,s2 -> s2
342,s1 -> s3,s2 -> s2
343,s2 -> s3,s2 -> s2
344,s3 -> s3,s2 -> s2
345,s4 -> s3,s2 -> s2
346,s0 -> s4,s2 -> s2
347,s1 -> s4,s2 -> s2
348,s2 -> s4,s2 -> s2
349,s3 -> s4,s2 -> s2
350,s4 -> s4,s2 -> s2
351,s0 -> s0,s3 -> s2
352,s1 -> s0,s3 -> s2
353,s2 -> s0,s3 -> s2
354,s3 -> s0,s3 -> s2
355,s4 -> s0,s3 -> s2
356,s0 -> s1,s3 -> s2
357,s1 -> s1,s3 -> s2
358,s2 -> s1,s3 -> s2
359,s3 -> s1,s3 -> s2
360,s4 -> s1,s3 -> s2
361,s0 -> s2,s3 -> s2
362,s1 -> s2,s3 -> s2
363,s2 -> s2,s3 -> s2
364,s3 -> s2,s3 -> s2
365,s4 -> s2,s3 -> s2
366,s0 -> s3,s3 -> s2
367,s1 -> s3,s3 -> s2
368,s2 -> s3,s3 -> s2
369,s3 -> s3,s3 -> s2
370,s4 -> s3,s3 -> s2
371,s0 -> s4,s3 -> s2
372,s1 -> s4,s3 -> s2
373,s2 -> s4,s3 -> s2
374,s3 -> s4,s3 -> s2
375,s4 -> s4,s3 -> s2
376,s0 -> s0,s4 -> s2
377,s1 -> s0,s4 -> s2
378,s2 -> s0,s4 -> s2
379,s3 -> s0,s4 -> s2
380,s4 -> s0,s4 -> s2
381,s0 -> s1,s4 -> s2
382,s1 -> s1,s4 -> s2
383,s2 -> s1,s4 -> s2
384,s3 -> s1,s4 -> s2
385,s4 -> s1,s4 -> s2
386,s0 -> s2,s4 -> s2
387,s1 -> s2,s4 -> s2
388,s2 -> s2,s4 -> s2
389,s3 -> s2,s4 -> s2
390,s4 -> s2,s4 -> s2
391,s0 -> s3,s4 -> s2
392,s1 -> s3,s4 -> s2
393,s2 -> s3,s4 -> s2
394,s3 -> s3,s4 -> s2
395,s4 -> s3,s4 -> s2
396,s0 -> s4,s4 -> s2
397,s1 -> s4,s4 -> s2
398,s2 -> s4,s4 -> s2
399,s3 -> s4,s4 -> s2
400,s4 -> s4,s4 -> s2
401,s0 -> s0,s0 -> s3
402,s1 -> s0,s0 -> s3
403,s2 -> s0,s0 -> s3
404,s3 -> s0,s0 -> s3
405,s4 -> s0,s0 -> s3
406,s0 -> s1,s0 -> s3
407,s1 -> s1,s0 -> s3
408,s2 -> s1,s0 -> s3
409,s3 -> s1,s0 -> s3
410,s4 -> s1,s0 -> s3
411,s0 -> s2,s0 -> s3
412,s1 -> s2,s0 -> s3
413,s2 -> s2,s0 -> s3
414,s3 -> s2,s0 -> s3
415,s4 -> s2,s0 -> s3
416,s0 -> s3,s0 -> s3
417,s1 -> s3,s0 -> s3
418,s2 -> s3,s0 -> s3
419,s3 -> s3,s0 -> s3
420,s4 -> s3,s0 -> s3
421,s0 -> s4,s0 -> s3
422,s1 -> s4,s0 -> s3
423,s2 -> s4,s0 -> s3
424,s3 -> s4,s0 -> s3
425,s4 -> s4,s0 -> s3
426,s0 -> s0,s1 -> s3
427,s1 -> s0,s1 -> s3
428,s2 -> s0,s1 -> s3
429,s3 -> s0,s1 -> s3
430,s4 -> s0,s1 -> s3
431,s0 -> s1,s1 -> s3
432,s1 -> s1,s1 -> s3
433,s2 -> s1,s1 -> s3
434,s3 -> s1,s1 -> s3
435,s4 -> s1,s1 -> s3
436,s0 -> s2,s1 -> s3
437,s1 -> s2,s1 -> s3
438,s2 -> s2,s1 -> s3
439,s3 -> s2,s1 -> s3
440,s4 -> s2,s1 -> s3
441,s0 -> s3,s1 -> s3
442,s1 -> s3,s1 -> s3
443,s2 -> s3,s1 -> s3
444,s3 -> s3,s1 -> s3
445,s4 -> s3,s1 -> s3
446,s0 -> s4,s1 -> s3
447,s1 -> s4,s1 -> s3
448,s2 -> s4,s1 -> s3
449,s3 -> s4,s1 -> s3
450,s4 -> s4,s1 -> s3
451,s0 -> s0,s2 -> s3
452,s1 -> s0,s2 -> s3
453,s2 -> s0,s2 -> s3
454,s3 -> s0,s2 -> s3
455,s4 -> s0,s2 -> s3
456,s0 -> s1,s2 -> s3
457,s1 -> s1,s2 -> s3
458,s2 -> s1,s2 -> s3
459,s3 -> s1,s2 -> s3
460,s4 -> s1,s2 -> s3
461,s0 -> s2,s2 -> s3
462,s1 -> s2,s2 -> s3
463,s2 -> s2,s2 -> s3
464,s3 -> s2,s2 -> s3
465,s4 -> s2,s2 -> s3
466,s0 -> s3,s2 -> s3
467,s1 -> s3,s2 -> s3
468,s2 -> s3,s2 -> s3
469,s3 -> s3,s2 -> s3
470,s4 -> s3,s2 -> s3
471,s0 -> s4,s2 -> s3
472,s1 -> s4,s2 -> s3
473,s2 -> s4,s2 -> s3
474,s3 -> s4,s2 -> s3
475,s4 -> s4,s2 -> s3
476,s0 -> s0,s3 -> s3
477,s1 -> s0,s3 -> s3
478,s2 -> s0,s3 -> s3
479,s3 -> s0,s3 -> s3
480,s4 -> s0,s3 -> s3
481,s0 -> s1,s3 -> s3
482,s1 -> s1,s3 -> s3
483,s2 -> s1,s3 -> s3
484,s3 -> s1,s3 -> s3
485,s4 -> s1,s3 -> s3
486,s0 -> s2,s3 -> s3
487,s1 -> s2,s3 -> s3
488,s2 -> s2,s3 -> s3
489,s3 -> s2,s3 -> s3
490,s4 -> s2,s3 -> s3
491,s0 -> s3,s3 -> s3
492,s1 -> s3,s3 -> s3
493,s2 -> s3,s3 -> s3
494,s3 -> s3,s3 -> s3
495,s4 -> s3,s3 -> s3
496,s0 -> s4,s3 -> s3
497,s1 -> s4,s3 -> s3
498,s2 -> s4,s3 -> s3
499,s3 -> s4,s3 -> s3
500,s4 -> s4,s3 -> s3
501,s0 -> s0,s4 -> s3
502,s1 -> s0,s4 -> s3
503,s2 -> s0,s4 -> s3
504,s3 -> s0,s4 -> s3
505,s4 -> s0,s4 -> s3
506,s0 -> s1,s4 -> s3
507,s1 -> s1,s4 -> s3
508,s2 -> s1,s4 -> s3
509,s3 -> s1,s4 -> s3
510,s4 -> s1,s4 -> s3
511,s0 -> s2,s4 -> s3
512,s1 -> s2,s4 -> s3
513,s2 -> s2,s4 -> s3
514,s3 -> s2,s4 -> s3
515,s4 -> s2,s4 -> s3
516,s0 -> s3,s4 -> s3
517,s1 -> s3,s4 -> s3
518,s2 -> s3,s4 -> s3
519,s3 -> s3,s4 -> s3
520,s4 -> s3,s4 -> s3
521,s0 -> s4,s4 -> s3
522,s1 -> s4,s4 -> s3
523,s2 -> s4,s4 -> s3
524,s3 -> s4,s4 -> s3
525,s4 -> s4,s4 -> s3
526,s0 -> s0,s0 -> s4
527,s1 -> s0,s0 -> s4
528,s2 -> s0,s0 -> s4
529,s3 -> s0,s0 -> s4
530,s4 -> s0,s0 -> s4
531,s0 -> s1,s0 -> s4
532,s1 -> s1,s0 -> s4
533,s2 -> s1,s0 -> s4
534,s3 -> s1,s0 -> s4
535,s4 -> s1,s0 -> s4
536,s0 -> s2,s0 -> s4
537,s1 -> s2,s0 -> s4
538,s2 -> s2,s0 -> s4
539,s3 -> s2,s0 -> s4
540,s4 -> s2,s0 -> s4
541,s0 -> s3,s0 -> s4
542,s1 -> s3,s0 -> s4
543,s2 -> s3,s0 -> s4
544,s3 -> s3,s0 -> s4
545,s4 -> s3,s0 -> s4
546,s0 -> s4,s0 -> s4
547,s1 -> s4,s0 -> s4
548,s2 -> s4,s0 -> s4
549,s3 -> s4,s0 -> s4
550,s4 -> s4,s0 -> s4
551,s0 -> s0,s1 -> s4
552,s1 -> s0,s1 -> s4
553,s2 -> s0,s1 -> s4
554,s3 -> s0,s1 -> s4
555,s4 -> s0,s1 -> s4
556,s0 -> s1,s1 -> s4
557,s1 -> s1,s1 -> s4
558,s2 -> s1,s1 -> s4
559,s3 -> s1,s1 -> s4
560,s4 -> s1,s1 -> s4
561,s0 -> s2,s1 -> s4
562,s1 -> s2,s1 -> s4
563,s2 -> s2,s1 -> s4
564,s3 -> s2,s1 -> s4
565,s4 -> s2,s1 -> s4
566,s0 -> s3,s1 -> s4
567,s1 -> s3,s1 -> s4
568,s2 -> s3,s1 -> s4
569,s3 -> s3,s1 -> s4
570,s4 -> s3,s1 -> s4
571,s0 -> s4,s1 -> s4
572,s1 -> s4,s1 -> s4
573,s2 -> s4,s1 -> s4
574,s3 -> s4,s1 -> s4
575,s4 -> s4,s1 -> s4
576,s0 -> s0,s2 -> s4
577,s1 -> s0,s2 -> s4
578,s2 -> s0,s2 -> s4
579,s3 -> s0,s2 -> s4
580,s4 -> s0,s2 -> s4
581,s0 -> s1,s2 -> s4
582,s1 -> s1,s2 -> s4
583,s2 -> s1,s2 -> s4
584,s3 -> s1,s2 -> s4
585,s4 -> s1,s2 -> s4
586,s0 -> s2,s2 -> s4
587,s1 -> s2,s2 -> s4
588,s2 -> s2,s2 -> s4
589,s3 -> s2,s2 -> s4
590,s4 -> s2,s2 -> s4
591,s0 -> s3,s2 -> s4
592,s1 -> s3,s2 -> s4
593,s2 -> s3,s2 -> s4
594,s3 -> s3,s2 -> s4
595,s4 -> s3,s2 -> s4
596,s0 -> s4,s2 -> s4
597,s1 -> s4,s2 -> s4
598,s2 -> s4,s2 -> s4
599,s3 -> s4,s2 -> s4
600,s4 -> s4,s2 -> s4
601,s0 -> s0,s3 -> s4
602,s1 -> s0,s3 -> s4
603,s2 -> s0,s3 -> s4
604,s3 -> s0,s3 -> s4
605,s4 -> s0,s3 -> s4
606,s0 -> s1,s3 -> s4
607,s1 -> s1,s3 -> s4
608,s2 -> s1,s3 -> s4
609,s3 -> s1,s3 -> s4
610,s4 -> s1,s3 -> s4
611,s0 -> s2,s3 -> s4
612,s1 -> s2,s3 -> s4
613,s2 -> s2,s3 -> s4
614,s3 -> s2,s3 -> s4
615,s4 -> s2,s3 -> s4
616,s0 -> s3,s3 -> s4
617,s1 -> s3,s3 -> s4
618,s2 -> s3,s3 -> s4
619,s3 -> s3,s3 -> s4
620,s4 -> s3,s3 -> s4
621,s0 -> s4,s3 -> s4
622,s1 -> s4,s3 -> s4
623,s2 -> s4,s3 -> s4
624,s3 -> s4,s3 -> s4
625,s4 -> s4,s3 -> s4
626,s0 -> s0,s4 -> s4
627,s1 -> s0,s4 -> s4
628,s2 -> s0,s4 -> s4
629,s3 -> s0,s4 -> s4
630,s4 -> s0,s4 -> s4
631,s0 -> s1,s4 -> s4
632,s1 -> s1,s4 -> s4
633,s2 -> s1,s4 -> s4
634,s3 -> s1,s4 -> s4
635,s4 -> s1,s4 -> s4
636,s0 -> s2,s4 -> s4
637,s1 -> s2,s4 -> s4
638,s2 -> s2,s4 -> s4
639,s3 -> s2,s4 -> s4
640,s4 -> s2,s4 -> s4
641,s0 -> s3,s4 -> s4
642,s1 -> s3,s4 -> s4
643,s2 -> s3,s4 -> s4
644,s3 -> s3,s4 -> s4
645,s4 -> s3,s4 -> s4
646,s0 -> s4,s4 -> s4
647,s1 -> s4,s4 -> s4
648,s2 -> s4,s4 -> s4
649,s3 -> s4,s4 -> s4
650,s4 -> s4,s4 -> s4
651,s0 -> s0,s0 -> s0,s0 -> s0
652,s1 -> s0,s0 -> s0,s0 -> s0
653,s2 -> s0,s0 -> s0,s0 -> s0
654,s3 -> s0,s0 -> s0,s0 -> s0
655,s4 -> s0,s0 -> s0,s0 -> s0
656,s0 -> s1,s0 -> s0,s0 -> s0
657,s1 -> s1,s0 -> s0,s0 -> s0
658,s2 -> s1,s0 -> s0,s0 -> s0
659,s3 -> s1,s0 -> s0,s0 -> s0
660,s4 -> s1,s0 -> s0,s0 -> s0
661,s0 -> s2,s0 -> s0,s0 -> s0
662,s1 -> s2,s0 -> s0,s0 -> s0
663,s2 -> s2,s0 -> s0,s0 -> s0
664,s3 -> s2,s0 -> s0,s0 -> s0
665,s4 -> s2,s0 -> s0,s0 -> s0
666,s0 -> s3,s0 -> s0,s0 -> s0
667,s1 -> s3,s0 -> s0,s0 -> s0
668,s2 -> s3,s0 -> s0,s0 -> s0
669,s3 -> s3,s0 -> s0,s0 -> s0
670,s4 -> s3,s0 -> s0,s0 -> s0
671,s0 -> s4,s0 -> s0,s0 -> s0
672,s1 -> s4,s0 -> s0,s0 -> s0
673,s2 -> s4,s0 -> s0,s0 -> s0
674,s3 -> s4,s0 -> s0,s0 -> s0
675,s4 -> s4,s0 -> s0,s0 -> s0
676,s0 -> s0,s1 -> s0,s0 -> s0
677,s1 -> s0,s1 -> s0,s0 -> s0
678,s2 -> s0,s1 -> s0,s0 -> s0
679,s3 -> s0,s1 -> s0,s0 -> s0
680,s4 -> s0,s1 -> s0,s0 -> s0
681,s0 -> s1,s1 -> s0,s0 -> s0
682,s1 -> s1,s1 -> s0,s0 -> s0
683,s2 -> s1,s1 -> s0,s0 -> s0
684,s3 -> s1,s1 -> s0,s0 -> s0
685,s4 -> s1,s1 -> s0,s0 -> s0
686,s0 -> s2,s1 -> s0,s0 -> s0
687,s1 -> s2,s1 -> s0,s0 -> s0
688,s2 -> s2,s1 -> s0,s0 -> s0
689,s3 -> s2,s1 -> s0,s0 -> s0
690,s4 -> s2,s1 -> s0,s0 -> s0
691,s0 -> s3,s1 -> s0,s0 -> s0
692,s1 -> s3,s1 -> s0,s0 -> s0
693,s2 -> s3,s1 -> s0,s0 -> s0
694,s3 -> s3,s1 -> s0,s0 -> s0
695,s4 -> s3,s1 -> s0,s0 -> s0
696,s0 -> s4,s1 -> s0,s0 -> s0
697,s1 -> s4,s1 -> s0,s0 -> s0
698,s2 -> s4,s1 -> s0,s0 -> s0
699,s3 -> s4,s1 -> s0,s0 -> s0
700,s4 -> s4,s1 -> s0,s0 -> s0
701,s0 -> s0,s2 -> s0,s0 -> s0
702,s1 -> s0,s2 -> s0,s0 -> s0
703,s2 -> s0,s2 -> s0,s0 -> s0
704,s3 -> s0,s2 -> s0,s0 -> s0
705,s4 -> s0,s2 -> s0,s0 -> s0
706,s0 -> s1,s2 -> s0,s0 -> s0
707,s1 -> s1,s2 -> s0,s0 -> s0
708,s2 -> s1,s2 -> s0,s0 -> s0
709,s3 -> s1,s2 -> s0,s0 -> s0
710,s4 -> s1,s2 -> s0,s0 -> s0
711,s0 -> s2,s2 -> s0,s0 -> s0
712,s1 -> s2,s2 -> s0,s0 -> s0
713,s2 -> s2,s2 -> s0,s0 -> s0
714,s3 -> s2,s2 -> s0,s0 -> s0
715,s4 -> s2,s2 -> s0,s0 -> s0
716,s0 -> s3,s2 -> s0,s0 -> s0
717,s1 -> s3,s2 -> s0,s0 -> s0
718,s2 -> s3,s2 -> s0,s0 -> s0
719,s3 -> s3,s2 -> s0,s0 -> s0
720,s4 -> s3,s2 -> s0,s0 -> s0
721,s0 -> s4,s2 -> s0,s0 -> s0
722,s1 -> s4,s2 -> s0,s0 -> s0
723,s2 -> s4,s2 -> s0,s0 -> s0
724,s3 -> s4,s2 -> s0,s0 -> s0
725,s4 -> s4,s2 -> s0,s0 -> s0
726,s0 -> s0,s3 -> s0,s0 -> s0
727,s1 -> s0,s3 -> s0,s0 -> s0
728,s2 -> s0,s3 -> s0,s0 -> s0
729,s3 -> s0,s3 -> s0,s0 -> s0
730,s4 -> s0,s3 -> s0,s0 -> s0
731,s0 -> s1,s3 -> s0,s0 -> s0
732,s1 -> s1,s3 -> s0,s0 -> s0
733,s2 -> s1,s3 -> s0,s0 -> s0
734,s3 -> s1,s3 -> s0,s0 -> s0
735,s4 -> s1,s3 -> s0,s0 -> s0
736,s0 -> s2,s3 -> s0,s0 -> s0
